N,d,k,beta,prob_low,prob_upp
100.0,1.0,79.0,0.1,0.15766923841476443,0.2714403088951113
100.0,1.0,80.0,0.1,0.14875446920394886,0.25000404634475715
100.0,1.0,81.0,0.1,0.13989119737625122,0.24988197847366334
100.0,1.0,82.0,0.1,0.13108133024215685,0.23902747449874895
100.0,1.0,83.0,0.1,0.12232868242263795,0.22811956583023085
100.0,1.0,84.0,0.1,0.11363897584915161,0.21715634515762328
100.0,1.0,85.0,0.1,0.10501221052169785,0.20613018323898324
100.0,1.0,86.0,0.1,0.09645792299270617,0.19503726545333866
100.0,1.0,87.0,0.1,0.0879818351936339,0.18387377717971798
100.0,1.0,88.0,0.1,0.07959157636642444,0.17263399648666367
100.0,1.0,89.0,0.1,0.07129859037399278,0.1613045722007752
100.0,1.0,90.0,0.1,0.0631124137687683,0.1498816897010804
100.0,1.0,91.0,0.1,0.05504639772415154,0.1383519978141785
100.0,1.0,92.0,0.1,0.04712533727645862,0.12500654634475705
100.0,1.0,93.0,0.1,0.0393702128410337,0.11490161539077759
100.0,1.0,94.0,0.1,0.0318172633171081,0.10293896402359004
100.0,1.0,95.0,0.1,0.024519893398284864,0.09077223043441762
100.0,1.0,96.0,0.1,0.017558210124969498,0.07834800992965685
100.0,1.0,97.0,0.1,0.01107144716262809,0.062507796344757
100.0,1.0,98.0,0.1,0.005330442600250285,0.05234564607620251
100.0,1.0,99.0,0.1,0.0010542524909972206,0.03125842134475698
100.0,1.0,100.0,0.1,0.0,0.022763260440826216
